record_id,title,content,publication_date
11785,ketua kpu umroh bareng jokowi,"aneh !! menjelang hari h pemilu koq bisa2nya ketua kpu umroh bareng jokowi ??? padahal banyak masalah di kpu saat ini terutama di kpln.
bukankah ini pelanggaran ???",16-apr-19
12104,tiket promo kereta api hut bumn 21,"jalan2 naik kereta yuuuuk
 
 hayo jalan2… tiket ka promo…",21-feb-19
12496,simulasi orang gila di bawa ke tps saat pemilu nanti,simulasi orang gila di bawa ke tps saat pemilu nanti.pertama terjadi di dunia.!,25-dec-18
12530,broadcast whatsapp info test seleksi gtt/ptt,"tabe.. siapa tahu ada keluargata yg guru sma, ini ada info",18-dec-18
12594,puan maharani buka posko logistik di reuni 212,"info. buat alumni 212 harap hindari posko 14 di monas, posko 14 milik puan maharani yang menuju ke istiqlal. sebarkan agar jama’ah yang lain tau",3-dec-18
12975,penerbangan pesawat hercules gratis ke palu untuk keluarga korban gempa dan tsunami,jadwal hercules malam ini jam 19.00 dan 03.00 subuh besok. di lanud makassar.,02-okt-18
13209,capt. pribadi adalah pengemudi pesawat yang mengijinkan hj. neno warisman,"“… capt. pribadi adalah pengemudi pesawat yang mengijinkan hj. neno warisman, sang dedengkot gerakan makar #2019gantikhilafah untuk menggunakan sistem pengeras suara pesawat beberapa waktu lalu …”",29-agu-18
13483,"coach indra sjafri: saya pernah 1 tahun tak digaji, tapi ikhlas",kendati sukses mengantarkan timnas indonesia u-19 juara piala aff u-19 2013 dan lolos ke putaran final piala asia u-19 2014,17-jul-18
13732,dua alquran yang diklaim sebagai al-quran palsu kembali beredar,ini alqur’an palsu karang orang kafir,30-may-18
13873,yel-yel kecebong yang merencanakan untuk menyusup di cfd,"ane sebarin deh videonya. nih liat yel-yel kecebong yg merencanakan untuk menyusup di cfd untuk menghancurkan hastag #2019gantipresiden.
 cc. @bangpino_ @netizentofa @zarazettirazr @roninkhalid @ndoro__putrie @restycayah @ardi_riau
 “….dan allah sebaik-baik pembalas tipu daya”",5-may-18
13907,kronologis polisi berondong sedan terobos razia di lubuklinggau,"innalillah… hanya karena lalai terobos razia, mobil berisi satu keluarga ditembaki polisi, satu orang tewas",28-apr-18
13931,kemristekdikti: bukan undang dosen asing tapi profesor kelas dunia,"”bukan dosen asing, tapi profesor kelas dunia. orang indonesia pun bisa mengikuti program ini, asalkan dia mengajar di universitas di luar negeri dan mempunyai koneksi dengan peraih nobel,” kata direktur jenderal sumber daya iptek dan dikti kemristekdikti ali ghufron mukti di jakarta, selasa",26-apr-18
14179,"kecam pernyataan said aqil, neno warisman: kami para ibu tidak terima!","kecam pernyataan said aqil, neno warisman: kami para ibu tidak terima!
 pernyataan kontroversial ketua pbnu said aqil siradj yang mengatakan “nonton film porno lebih baik daripada dengarkan ceramah radikal karena sambil istighfar” mendapat kecaman dari pegiat pendidikan anak neno warisman. dia menuliskan kemarahannya dalam tulisan berikut ini:…",14-mar-18
14482,memerangi allah of kung fu,"“padahal nama tersebut merupakan hasil translate otomatis google dari game aslinya yang berjudul “galaxy fighting, god of kung fu”.",19-jan-18
14631,permen susu mengandung narkoba,"assalamu’alaikum… ini ada informasi dari teman dokter. anaknya bidan di banyumas makan permen susu, trus 3 hari gk mau makan, ngefly. disarankan temen dokter di purbalingga untuk membawa permen tsb ke bnn, ternyata hasilnya positif mengandung narkoba jenis benzodiazepin.",19-dec-17
15289,konser anies - sandi no 3 menang telak,#konser gue 3 menang telak,12-may-17
15502,poster aksi damai bela islam 5 yang mencantumkan nama dan foto gatot nurmantyo,"beredarnya poster aksi damai bela islam 5 menjadi viral di media sosial. sebab, di dalam poster tersebut terdapat nama dan foto panglima tni jenderal gatot nurmantyo",18-feb-17
15563,surat c6 sebagai syarat memberikan hak pilih pada pilkada dki jakarta,"pengumuman penting soal pilkada dki 2017. pemilih wajib ambil surat c6 on 12 – 13 feb dgn pengurus rt. apabila sampe 14 feb surat c6 tidak diambil langsung pemilik, rt akan kembalikan ke kpu & warga dki yg tidak milik c6 hanya bisa memilih jam 12.00 – 13.00 saja! bawa e-ktp, suket + kk asli. jika lewat dari pk 13.00 suara anda hangus! tlg sebarkan! thank you",7-feb-17
15590,: pernyataan danjen kopassus dukung fpi,tni umumnya waras kecuali wereng coklat…kenapa gitu yah ? masa sih sejarah buruk harus terulang kembali…kan serem bgt. danjen kopassus :fpi itu ormas terbesar dan suka membantu memberantas kemahsiatan. yang harus dibubarkan ormas preman yang suka membekingi kemahsiatan dan suka bikin resah masyarakat.,30-jan-17
15839,gambar salib pada barang bantuan bencana,"hati hati, dan harus teliti menerima segala bentuk bantuan korban gempa. kami mendapatkan gambar salib di handuk bantuan yg di edarkan",14-dec-16
15882,aksi 212 dapat penghargaan rekor dunia,tersebar gambar dua piagam yang menyatakan jika aksi 212 mendapat penghargaan dari rekor dunia,5-dec-16
16682,foto petinggi kepolisian mengizinkan demo neo pki,demo neo pki hari ini udah dapat ijin dari buntelan kentut maaf ralat dari petinggi kepolisian tinggal tunggu gendering perang ditabuh aja”,29-jul-20
17142,tulisan mana teriakan saya pancasila mu? oleh dr abdul muti med,mana teriakan “saya pancasila mu ?” oleh : dr abdul mu’ti med (sekum pp muhamadyah),15-jun-20
17256,"petugas rapid test jarang mengganti sarung tangan, bisa tularkan covid-19 dari pasien sebelumnya","bila tiba-tiba anda/panjenengan terjebak dalam oprasi rapid tes dadakan/ujug ujug datang petugas yang mengharuskan mengikuti rapid tes, maka perlu diperhatikan sarung tangan petugs, kalau sarung tangan yang dipakai hanya itu-itu saja (satu) yang dipakai, tanpa ganti ganti, dimana setelah petugas itu pegang orang/oasien yang rapid tes, kemudian tanpa ganti sarung tangan petugas lalu memegang anda/panjenengan, maka disinilah letak rawannya penularan virus nya, karena kita ngga tau dan petugas pun ngga tau, apakah orang yang dipegang sebelum kita tadi, orang tersebut positif/reaktif atau negatif.. jadi penularan bukan karena kita berada ditempat umum saja, akan tetapi saat rapid tes dilakukan massal",2-jun-20
17361,video dokter bule,"ini nih dokter bule juga ngomong serupa bahkan ngasih data lebih lengkap & detail. intinya covid 19 itu biasa aja, nggak mematikan, bisa sembuh sendiri. mereka juga mengatakan kalau banyak yang meninggal karena penyakit lain tapi dimasukkan ke daftar covid 19 (kirain di sinih aja yang begitu). lockdown / psbb justru menimbulkan dampak yang sangat jauh lebih buruk dibanding covid 19.",20-may-20
17570,vietnam tidak ada korban meninggal covid-19 karena teh dan lemon,kabar gembira dan istimewa.. vietnam korban covid 19 tidak ada yng mati…berita super.. obat virus covid 19 sudah tercapai informasi dari negara vietnam.. virus covid 19 tidak menyebabkan kematian.. ternyata resepnya sangat sederhana tapi sangat ampuh.. hanya 1 teh..2 lemon..minumlah teh panas setelah di campur perasan lemon..dapat segera membunuh virus covid 19..dan dapat sepenuhnya menghilangkan virus covid 19 dari tubuh…2 bahan ini membuat sistem kekebalan tubuh menjadi bersifat basa.. karena ketika malam tiba sistem tubuh menjadi asam.. kemampuan detensif juga akan berkurang.. itulah sebabnya orang vietnam santai saja dengan menyebarnya virus covid 19… di vietnam rata2 semua orang minum segelas air panas dengan sedikit lemon di malam hari… karena telah terbukti membunuh virus covid 19 secara total… bagikan resep sakti ini kepada siapapun untuk memburu pahala… resep sederhana ini sangat efektif karena tidak akan terinfeksi virus covid 19.. atas izin tuhan yme…selamat mencoba…,2-may-20
18000,ratusan warga china yang menetap di indonesia menuju singapura karena virus corona,"ratusan warga china yang menetap di indonesia tadi pagi meninggalkan indonesia menuju singapura karena situasi virus corona yang menyerang indonesia mereka akan kembali lagi jika situasi di indonesia kembali normal,",23-mar-20
18087,dua orang terinfeksi virus corona di parepare,dua orang terinfeksi virus corona di parepare… waspada ki semua… tidak main main ini,16-mar-20
18129,the simpsons 1993 memprediksi corona virus dari china,jangan pernah meremehkan the simpsons… the simpsons 1993.. corona virus dari china..,14-mar-20
18283,setelah membakar al-quran jari tangan pria ini menghitam dan membusuk mengeluarkan bau menjijikan,"azab yang sangat pedih menimpa seorang warga negara amerika. karena merobek-robek dan membakar al-qur’an, dia terkena penyakit yang sangat misteri. semua jari di kedua tangannya melepuh, membusuk, dan menghitam. selain itu, pada lukanya tersebut juga menimbulkan aroma yang tak sedap.",18-feb-20
18519,"marak lowongan kerja mengatasnamakan perusahaannya, pt inalum minta masyarakat waspada","manajer humas pt inalum, bambang heru prayoga: “informasi selain dari yang kami sebutkan ini maka hal itu dipastikan hoaks atau penipuan. kami harap tidak ada masyarakat yang terkena penipuan rekrutmen atas nama inalum,",5-jan-20
18600,cara cepat cek jantung dengan air dan es batu,"*ingin mengetahui bagaimana kesehatan jantung anda?*
 tes sederhana ini mendeteksi seberapa sehat jantung kita.
 menjaga jantung agar tetap berfungsi dengan baik sangat penting untuk kehidupan sehat jangka panjang.",26-dec-19
18997,presiden jokowi melecehkan bendera merah putih,"coba dilhat baik” yang melecehkan bendara indonesia yang mana? tapi nyatanya yang sekarang di tahan di polda metro yang pegang bendara merah putih di tangan, mohon yang punya kekuatan hukum advokat pengacara atau apa saja minta tolong didampingin anak stm ini kasihan tidak ada yang membelanya.",7-oct-19
19197,suntingan video merry riana indonesia bubar?,viral: indonesia bubar ? ini video merry riana yang asli (tonton sampai habis) !!! |,3-sep-19
19203,semua yang berbau jawa di jayapura hancur,video keadaan terakhir jayapura …mau ke bandara saja sampai 3 hari dan dikawal marinir dievakuasi …semua yg berbau jawa hancur !!!,3-sep-19
19387,bahaya daging kurban dibungkus kresek hitam,"yusuf ridwan mengatakan, kantong plastik kresek berwarna hitam mengandung zat karsinogen dan zat pewarna yang bisa tercampur dengan daging. akibat kontaminasi zat ini dapat menyebabkan kanker dalam waktu lama.yusuf ridwan mengatakan, kantong plastik kresek berwarna hitam mengandung zat karsinogen dan zat pewarna yang bisa tercampur dengan daging. akibat kontaminasi zat ini dapat menyebabkan kanker dalam waktu lama.",26-jul-19
19735,am hendropriyono meninggal di singapura,"innalilahiwainalrajiun..
telah mati seorang pembantai rakyat hendroprayono d singapore…jgn d ucapi meninggal..karna dia pembantai manusia",21-may-19
20112,penjelasan terkait video truk kontainer bergambar jokowi-maruf amin,truk semi kontainer paslon 01 ini kira-kira membawa apa ,22-mar-19
20370,bahaya semut/kutu jepang utk diabetes.,"info : bahaya semut/kutu jepang utk diabetes.
ada sahabat sy (ibu2) di magelang pengidap diabetes, kmd dia konsumsi semut/kutu jepang yg katanya bisa mengobati diabetes, mungkin benar karena semut itu mengeluarkan insulin.
tapi hanya dalam waktu satu tahun mengkonsumsi semut/kutu jepang itu, ternyata ususnya terkena bakteri dan rusak, sehingga harus dipotong ususnya.",8-feb-19
20401,cnn indonesia buat berita berjudul sertifikat ganda kerja rezim jokowi,"cnn indonesia

sertifikat ganda kerja rezim jokowi
10 november 2018",6-feb-19
20424,paham politik gak sih pak?,"aduh pak, bukan kelemahannya pak jokowi itu,
anda yang gak mudeng, justru itu yang bikin anda dan kampret makin terlihat bodoh,
paham politik gak sih pak?",3-feb-19
21327,judul berita prabowo: mengaji tidak dibutuhkan dalam memimpin negara,"ah pokoknya apa kata prabowo laaah…..
 amin rais jangan nyinyir yaaaa keh keh keh",9-sep-18
21364,universitas muhammadiyah kupang bantah akan menginisasi gerakan #gantipresiden2019,"terkait salah satu dosennya menjadi insiator gerakan #gantipresiden2019 di kabupaten manggarai barat, nusa tenggara timur (ntt), pihak universitas muhammadiyah kupang (umk) membantah bahwa kampusnya terlibat dalam gerakan tersebut.",4-sep-18
21547,pks dan gerindra purwakarta bantah pasang spanduk yang dinilai provokatif,kami caleg partai gerindra dan pks menolak khilafah. indonesia damai menolak khilafah di wilayah purwakarta. barisan muda muslim purwakarta.,07-agu-18
21787,kalimantan barat memanas,"menang songong, kalah ngamuk!",30-jun-18
21946,"tersangka ujaran kebencian dosen usu, himma dewiyana, dibebaskan",terima kasih bang romo syafi’i dan ketua kahmi telah membantu membebaskan ibu himma.,25-may-18
22200,dedi mulyadi menghamili siswi mts,"bupati purwakarta yang kini menjadi calon wakil gubernur jawa barat, dedi mulyadi pernah membantah informasi yang mengatakan dirinya menghamili siswi mts. yang sebenarnya terjadi kata dedi adalah ia menjadi saksi nikah dari seorang anak tokoh masyarakat sumedang yang tengah hamil dengan yang menghamilinya.",16-apr-18
22521,"di tuduh curi medali milik bambang pamungkas, muhammad yusuf buka suara","mantan ketua umum jakmania, larico ranggamone : “soal yang ramai medali bepe hilang ditunjukkan kepada m yusuf ini, itu medali palsu didapat dari tantenya dari pssi. itu beda dari medali yang didapat tim persija,”.",21-feb-18
22603,malam nanti jam 3:25 pagi bulan akan mengelilingi kabah,"malam nanti jam 3:25 pagi bulan akan mengelilingi ka’bah dan langit akan berwarna biru muda, inilah sa’at penerima’an doa,taubat,munajat,ini​ *terjadi setiap 100 ribu tahun sekali,
 *hari ini di malam hari siapa pun yang berdo’a akan diterima. bulan akan melakukan tawaaf di sekitar ka’bah.
 tolong sampaikan ini kepada semua orang. *rabbi minkulli zambi wa’atubu illiahi.. , jika kamu mengirim doa ini ke temanmu, allah akan menyelesaikan semua masalahmu.
 tolong kirimkan ini ke setiap orang dekat kita sehingga mereka bisa mengetahui .. ..
 semoga bermanfaat aamiin",31-jan-18
22935,pendaftaran peserta uji nyali masih dunia lain trans 7 di pabrik mercon,"pendaftaran peserta acara uji nyali “masih dunia lain” televisi trans 7 :
buat para spookiers yang pengen ikutan uji nyali, langsung kirim data melalui email, data yang perlu diisi adalah;
nama :
umur :
alamat :
pekerjaan :
motivasi ikut uji nyali :
no telp :",30-nov-17
23098,"kartu sim xl, indosat, smarfren, dan telkomsel disadap badan intelijen as","kemenkominfo melalui badan regulasi telekomunikasi indonesia (brti) menyatakan telah menerima laporan investigasi operator seluler terkait dugaan penyadapan pada kartu sim buatan gemalto ( hutchinson 3, xl axiata, indosat, telkomsel) oleh badan intelijen as, national security agency (nsa) dan government communication headquarter (gchq).",9-nov-17
23171,rombongan anies-sandi ditilang dan tak miliki izin patwal di puncak bogor,rombongan anies-sandi ditilang dan tak miliki izin patwal di puncak bogor,23-oct-17
23339,foto john kei yang sudah disunting,"bismillah,
 hari ini team mualaf center darussalam diwakili harsha agousta brahma sadewa dan ibu jenderal lisze dewi purnamawati berangkat ke lp. batu nusakambangan cilacap memastikan niat john kei masuk islam..
 sebelum memutuskan masuk islam john kei alias john refra pemuda asal tutrean, pulau kei pernah di juluki sebagai godfather of jakarta..",16-sep-17
23390,pengoperasionalan kereta bandara,"buat teman2 yang ada kunjungan ke jakarta, sejak 17 agustus 2017 sudah ada transportasi kereta api dari bandara soekarno-hatta..?",22-aug-17
23414,tusuk gigi sebarkan hiv aids,tusuk gigi sebarkan hiv aids,18-jul-17
